,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600196.SH,20211111,50.5,50.5,49.5,49.94,50.93,-0.990000000000002,-1.9438,350860.6,1749114.46
1,600196.SH,20211110,48.79,51.44,47.64,50.93,48.45,2.479999999999997,5.1187,586714.71,2932108.336
2,600196.SH,20211109,47.81,49.6,47.7,48.45,47.9,0.5500000000000043,1.1482,245232.19,1195208.665
3,600196.SH,20211108,48.76,48.77,46.68,47.9,49.9,-2.0,-4.008,470950.67,2229493.947
4,600196.SH,20211105,49.0,51.48,48.73,49.9,49.7,0.19999999999999574,0.4024,355203.5,1787433.575
5,600196.SH,20211104,49.76,49.94,48.75,49.7,49.99,-0.28999999999999915,-0.5801,299918.7,1478362.591
6,600196.SH,20211103,47.8,51.54,47.8,49.99,47.59,2.3999999999999986,5.0431,504052.37,2520407.346
7,600196.SH,20211102,49.9,49.94,47.5,47.59,50.03,-2.4399999999999977,-4.8771,350700.26,1699773.74
8,600196.SH,20211101,49.8,50.33,49.69,50.03,50.0,0.030000000000001137,0.06,185920.2,929370.939
9,600196.SH,20211029,49.5,50.16,47.54,50.0,49.72,0.28000000000000114,0.5632,249728.32,1228650.41
10,600196.SH,20211028,49.63,50.25,49.31,49.72,49.73,-0.00999999999999801,-0.0201,180056.08,896071.898
11,600196.SH,20211027,51.3,51.39,49.44,49.73,50.91,-1.1799999999999997,-2.3178,239448.36,1200108.752
12,600196.SH,20211026,51.3,51.94,50.8,50.91,51.29,-0.38000000000000256,-0.7409,171544.46,878417.632
13,600196.SH,20211025,52.3,52.45,50.84,51.29,51.93,-0.6400000000000006,-1.2324,207692.82,1066066.684
14,600196.SH,20211022,51.05,52.6,50.92,51.93,50.84,1.0899999999999963,2.144,263401.63,1368152.77
15,600196.SH,20211021,52.69,52.69,50.75,50.84,52.29,-1.4499999999999957,-2.773,256620.39,1319434.369
16,600196.SH,20211020,51.95,53.3,51.1,52.29,51.88,0.4099999999999966,0.7903,303336.69,1581151.04
17,600196.SH,20211019,50.53,52.55,50.53,51.88,50.3,1.5800000000000054,3.1412,398335.99,2061948.599
18,600196.SH,20211018,50.59,50.66,49.69,50.3,50.43,-0.13000000000000256,-0.2578,193134.21,967948.417
19,600196.SH,20211015,50.8,51.38,50.05,50.43,50.8,-0.36999999999999744,-0.7283,193469.59,976570.745
20,600196.SH,20211014,51.0,51.35,50.3,50.8,50.97,-0.1700000000000017,-0.3335,139024.04,706650.636
21,600196.SH,20211013,50.6,51.0,49.44,50.97,50.6,0.36999999999999744,0.7312,197652.09,994665.99
22,600196.SH,20211012,51.61,51.89,50.0,50.6,51.61,-1.009999999999998,-1.957,206785.9,1048968.602
23,600196.SH,20211011,51.4,52.47,51.1,51.61,51.5,0.10999999999999943,0.2136,242038.7,1253799.209
24,600196.SH,20211008,50.01,52.22,49.05,51.5,52.3,-0.7999999999999972,-1.5296,426488.3,2182824.822
25,600196.SH,20210930,52.05,53.23,52.02,52.3,52.05,0.25,0.4803,315948.22,1659677.555
26,600196.SH,20210929,56.05,56.09,51.72,52.05,56.9,-4.850000000000001,-8.5237,540482.24,2876570.521
27,600196.SH,20210928,58.37,58.4,56.86,56.9,59.35,-2.450000000000003,-4.1281,287306.05,1650924.051
28,600196.SH,20210927,57.01,59.37,56.33,59.35,57.32,2.030000000000001,3.5415,427591.4,2493398.324
29,600196.SH,20210924,57.1,57.85,56.65,57.32,57.01,0.3100000000000023,0.5438,227084.05,1301477.779
30,600196.SH,20210923,56.78,57.95,56.7,57.01,57.03,-0.020000000000003126,-0.0351,224829.23,1288515.278
31,600196.SH,20210922,56.9,58.64,56.77,57.03,58.7,-1.6700000000000017,-2.845,261052.81,1494584.496
32,600196.SH,20210917,57.69,59.42,56.64,58.7,57.51,1.1900000000000048,2.0692,334353.65,1945421.657
33,600196.SH,20210916,59.28,59.28,57.43,57.51,59.36,-1.8500000000000014,-3.1166,352649.44,2051361.84
34,600196.SH,20210915,63.01,63.01,58.4,59.36,63.01,-3.6499999999999986,-5.7927,552178.0,3310907.003
35,600196.SH,20210914,63.03,64.38,62.77,63.01,63.74,-0.730000000000004,-1.1453,229509.02,1456579.211
36,600196.SH,20210913,63.5,65.06,63.25,63.74,62.69,1.0500000000000043,1.6749,309612.91,1982242.834
37,600196.SH,20210910,62.37,63.0,61.85,62.69,62.55,0.14000000000000057,0.2238,211862.44,1322868.525
38,600196.SH,20210909,63.9,64.59,62.22,62.55,64.19,-1.6400000000000006,-2.5549,273323.79,1722702.458
39,600196.SH,20210908,63.9,65.17,63.64,64.19,63.8,0.39000000000000057,0.6113,282505.03,1816903.383
40,600196.SH,20210907,64.39,64.44,62.7,63.8,64.64,-0.8400000000000034,-1.2995,311616.77,1978614.143
41,600196.SH,20210906,62.2,65.5,61.53,64.64,62.6,2.039999999999999,3.2588,380936.78,2447935.098
42,600196.SH,20210903,61.9,63.3,60.63,62.6,62.19,0.4100000000000037,0.6593,278312.3,1733298.884
43,600196.SH,20210902,64.56,64.86,62.03,62.19,63.66,-1.4699999999999989,-2.3091,306326.86,1926645.751
44,600196.SH,20210901,63.43,65.0,62.01,63.66,63.3,0.35999999999999943,0.5687,367563.84,2338286.481
45,600196.SH,20210831,63.91,64.7,62.73,63.3,64.68,-1.3800000000000097,-2.1336,315461.63,2000113.271
46,600196.SH,20210830,65.87,66.24,63.72,64.68,66.95,-2.269999999999996,-3.3906,339116.45,2197923.214
47,600196.SH,20210827,66.0,67.53,65.08,66.95,66.12,0.8299999999999983,1.2553,319437.23,2119599.019
48,600196.SH,20210826,68.86,69.2,66.0,66.12,70.26,-4.140000000000001,-5.8924,418768.3,2824058.312
49,600196.SH,20210825,68.2,71.74,67.3,70.26,67.88,2.3800000000000097,3.5062,469779.33,3278805.678
